WKT,gml_id,OBJECTID,beginLifespanVersion,endLifespanVersion,datasetName,localId,inspireId,inspireTheme,version,description,geographicalName,geographicalNameLanguage,geographicalNameStatus,geographicalNameSourceOfName,gearType,species,season,daysPerYear,vessels,loaMax,gearUnits,classification,dataQuality,scale,coordinateReferenceSystem,styleLayerDescription,licence,dataProvenance,dataAccessURL,area,measureUnit
"POLYGON ((-6.153295491999927 52.720240982000064,-6.154678115999957 52.71554920300008,-6.158256671999936 52.713672349000042,-6.15549142499998 52.712486926000047,-6.152644844999941 52.71317842600007,-6.151506213999936 52.715796151000063,-6.151018228999931 52.720240982000064,-6.153295491999927 52.720240982000064))",F100__1,1,2014-03-19T00:00:00,2016-10-17T12:50:00,Inshore Dredge Fishing Area,1,SD.SpeciesDistribution.IE.MarineInstitute.Natura2000.InshoreDredgeFishing.1,http://inspire.ec.europa.eu/theme/sd,1970,Location of inshore dredge fishing activity in Irish waters,Irish Sea,http://id.loc.gov/vocabulary/iso639-1/en,http://inspire.ec.europa.eu/codelist/NameStatusValue/official,http://dbpedia.org/resource/Ordnance_Survey_Ireland,Mussel Dredge,Seed Mussel,,0,0,0,0,,Survey Data,"1:50,000",http://www.opengis.net/def/crs/EPSG/0/4326,"Irelands Marine Atlas Esri Green Fill (RGB: 201,242,208) with Grey Outline (RGB: 110,110,110) polygon geometry",https://creativecommons.org/licenses/by/4.0/,http://dbpedia.org/resource/Marine_Institute_Ireland,https://data.gov.ie/dataset/inshore-dredge-fishing-activity,0.189025065837146,http://dbpedia.org/resource/Square_kilometre
"POLYGON ((-6.200913472999956 52.545874222000073,-6.203776134999941 52.539547418000041,-6.203239384999961 52.539547417000051,-6.200018890999957 52.545874222000073,-6.200913472999956 52.545874222000073))",F100__2,2,2014-03-19T00:00:00,2016-10-17T12:50:00,Inshore Dredge Fishing Area,2,SD.SpeciesDistribution.IE.MarineInstitute.Natura2000.InshoreDredgeFishing.2,http://inspire.ec.europa.eu/theme/sd,1972,Location of inshore dredge fishing activity in Irish waters,Irish Sea,http://id.loc.gov/vocabulary/iso639-1/en,http://inspire.ec.europa.eu/codelist/NameStatusValue/official,http://dbpedia.org/resource/Ordnance_Survey_Ireland,Mussel Dredge,Seed Mussel,,0,0,0,0,,Survey Data,"1:50,000",http://www.opengis.net/def/crs/EPSG/0/4326,"Irelands Marine Atlas Esri Green Fill (RGB: 201,242,208) with Grey Outline (RGB: 110,110,110) polygon geometry",https://creativecommons.org/licenses/by/4.0/,http://dbpedia.org/resource/Marine_Institute_Ireland,https://data.gov.ie/dataset/inshore-dredge-fishing-activity,0.0341830374849439,http://dbpedia.org/resource/Square_kilometre
"MULTIPOLYGON (((-6.011113661999957 53.021112059000082,-6.009400023999945 53.026898158000051,-6.012141842999938 53.027724680000063,-6.011799115999963 53.033923088000051,-6.014883661999932 53.035575846000022,-6.01728275399995 53.03454288000006,-6.017625481999971 53.033096685000032,-6.020367300999965 53.028757810000059,-6.014883661999932 53.019252075000047,-6.011113661999957 53.021112059000082)),((-6.009400023999945 53.097302020000022,-6.013170023999976 53.107821691000026,-6.021738209999967 53.105552962000047,-6.021395482999935 53.09977746900006,-6.018310936999967 53.093588576000059,-6.009400023999945 53.097302020000022)))",F100__3,3,2014-03-19T00:00:00,2016-10-17T12:50:00,Inshore Dredge Fishing Area,3,SD.SpeciesDistribution.IE.MarineInstitute.Natura2000.InshoreDredgeFishing.3,http://inspire.ec.europa.eu/theme/sd,1974,Location of inshore dredge fishing activity in Irish waters,Irish Sea,http://id.loc.gov/vocabulary/iso639-1/en,http://inspire.ec.europa.eu/codelist/NameStatusValue/official,http://dbpedia.org/resource/Ordnance_Survey_Ireland,Mussel Dredge,Seed Mussel,,0,0,0,0,,Survey Data,"1:50,000",http://www.opengis.net/def/crs/EPSG/0/4326,"Irelands Marine Atlas Esri Green Fill (RGB: 201,242,208) with Grey Outline (RGB: 110,110,110) polygon geometry",https://creativecommons.org/licenses/by/4.0/,http://dbpedia.org/resource/Marine_Institute_Ireland,https://data.gov.ie/dataset/inshore-dredge-fishing-activity,1.64138018201217,http://dbpedia.org/resource/Square_kilometre
"POLYGON ((-6.134992935999946 52.570435200000077,-6.139052582999966 52.560168809000061,-6.139661529999955 52.544702821000051,-6.134992935999946 52.570435200000077))",F100__4,4,2014-03-19T00:00:00,2016-10-17T12:50:00,Inshore Dredge Fishing Area,4,SD.SpeciesDistribution.IE.MarineInstitute.Natura2000.InshoreDredgeFishing.4,http://inspire.ec.europa.eu/theme/sd,1992,Location of inshore dredge fishing activity in Irish waters,Irish Sea,http://id.loc.gov/vocabulary/iso639-1/en,http://inspire.ec.europa.eu/codelist/NameStatusValue/official,http://dbpedia.org/resource/Ordnance_Survey_Ireland,Mussel Dredge,Seed Mussel,,0,0,0,0,,Survey Data,"1:50,000",http://www.opengis.net/def/crs/EPSG/0/4326,"Irelands Marine Atlas Esri Green Fill (RGB: 201,242,208) with Grey Outline (RGB: 110,110,110) polygon geometry",https://creativecommons.org/licenses/by/4.0/,http://dbpedia.org/resource/Marine_Institute_Ireland,https://data.gov.ie/dataset/inshore-dredge-fishing-activity,0.213260532957489,http://dbpedia.org/resource/Square_kilometre
"POLYGON ((-6.078157878999946 52.849296408000043,-6.096223306999946 52.832703733000073,-6.091757695999945 52.830613834000083,-6.065572972999973 52.847821762000081,-6.078157878999946 52.849296408000043))",F100__5,5,2014-03-19T00:00:00,2016-10-17T12:50:00,Inshore Dredge Fishing Area,5,SD.SpeciesDistribution.IE.MarineInstitute.Natura2000.InshoreDredgeFishing.5,http://inspire.ec.europa.eu/theme/sd,1993,Location of inshore dredge fishing activity in Irish waters,Irish Sea,http://id.loc.gov/vocabulary/iso639-1/en,http://inspire.ec.europa.eu/codelist/NameStatusValue/official,http://dbpedia.org/resource/Ordnance_Survey_Ireland,Mussel Dredge,Seed Mussel,,0,0,0,0,,Survey Data,"1:50,000",http://www.opengis.net/def/crs/EPSG/0/4326,"Irelands Marine Atlas Esri Green Fill (RGB: 201,242,208) with Grey Outline (RGB: 110,110,110) polygon geometry",https://creativecommons.org/licenses/by/4.0/,http://dbpedia.org/resource/Marine_Institute_Ireland,https://data.gov.ie/dataset/inshore-dredge-fishing-activity,1.37603119878896,http://dbpedia.org/resource/Square_kilometre
"MULTIPOLYGON (((-5.938565786999959 52.905328838000059,-5.940419866999946 52.91149389800006,-5.942505706999953 52.911213687000043,-5.940419866999946 52.900564325000062,-5.938565786999959 52.90042418400003,-5.938565786999959 52.905328838000059)),((-5.894531378999943 52.958403513000064,-5.8998618599999 52.95658409300006,-5.894531379999933 52.954764596000082,-5.894531378999943 52.958403513000064)),((-5.891982019999944 52.97631369800007,-5.894763138999962 52.977292945000045,-5.909132261999956 52.961902181000021,-5.905887620999977 52.960782639000058,-5.891982019999944 52.97631369800007)))",F100__6,6,2014-03-19T00:00:00,2016-10-17T12:50:00,Inshore Dredge Fishing Area,6,SD.SpeciesDistribution.IE.MarineInstitute.Natura2000.InshoreDredgeFishing.6,http://inspire.ec.europa.eu/theme/sd,1996,Location of inshore dredge fishing activity in Irish waters,Irish Sea,http://id.loc.gov/vocabulary/iso639-1/en,http://inspire.ec.europa.eu/codelist/NameStatusValue/official,http://dbpedia.org/resource/Ordnance_Survey_Ireland,Mussel Dredge,Seed Mussel,,0,0,0,0,,Survey Data,"1:50,000",http://www.opengis.net/def/crs/EPSG/0/4326,"Irelands Marine Atlas Esri Green Fill (RGB: 201,242,208) with Grey Outline (RGB: 110,110,110) polygon geometry",https://creativecommons.org/licenses/by/4.0/,http://dbpedia.org/resource/Marine_Institute_Ireland,https://data.gov.ie/dataset/inshore-dredge-fishing-activity,0.72708605064645,http://dbpedia.org/resource/Square_kilometre
"MULTIPOLYGON (((-5.97225459799995 52.922448484000022,-5.972584797999957 52.929033573000027,-5.979849185999967 52.917658697000043,-5.975226391999968 52.917259524000031,-5.97225459799995 52.922448484000022)),((-5.966311008999981 52.929233106000027,-5.966311008999981 52.930430282000032,-5.968622405999952 52.931826944000079,-5.970933799999955 52.928035898000083,-5.966311008999981 52.929233106000027)),((-5.918077830999948 52.958413050000047,-5.942029493999939 52.957077516000027,-5.923715283999968 52.944793788000027,-5.918077830999948 52.958413050000047)),((-5.926026680999939 52.993832965000081,-5.928338074999942 53.009569459000033,-5.958716421999952 52.999012701000026,-5.955023304999941 52.989842441000064,-5.932621153999945 52.989417782000032,-5.926026680999939 52.993832965000081)),((-6.023765707999928 53.056346484000073,-6.023435507999976 53.066491361000033,-6.028058300999931 53.065297971000064,-6.025746904999949 53.05614754100003,-6.023765707999928 53.056346484000073)),((-6.028718699999956 53.131480898000063,-6.030699894999941 53.141607989000079,-6.041266277999966 53.138232558000027,-6.041266276999977 53.131480898000063,-6.028718699999956 53.131480898000063)))",F100__7,7,2014-03-19T00:00:00,2016-10-17T12:50:00,Inshore Dredge Fishing Area,7,SD.SpeciesDistribution.IE.MarineInstitute.Natura2000.InshoreDredgeFishing.7,http://inspire.ec.europa.eu/theme/sd,1997,Location of inshore dredge fishing activity in Irish waters,Irish Sea,http://id.loc.gov/vocabulary/iso639-1/en,http://inspire.ec.europa.eu/codelist/NameStatusValue/official,http://dbpedia.org/resource/Ordnance_Survey_Ireland,Mussel Dredge,Seed Mussel,,0,0,0,0,,Survey Data,"1:50,000",http://www.opengis.net/def/crs/EPSG/0/4326,"Irelands Marine Atlas Esri Green Fill (RGB: 201,242,208) with Grey Outline (RGB: 110,110,110) polygon geometry",https://creativecommons.org/licenses/by/4.0/,http://dbpedia.org/resource/Marine_Institute_Ireland,https://data.gov.ie/dataset/inshore-dredge-fishing-activity,5.83265121147655,http://dbpedia.org/resource/Square_kilometre
"MULTIPOLYGON (((-6.185898030999965 52.502516322000083,-6.187436582999965 52.502751045000082,-6.193013832999952 52.489780686000081,-6.191475281999942 52.489604591000045,-6.185898030999965 52.502516322000083)),((-6.171330892999947 52.544790973000033,-6.180057311999974 52.54920988300006,-6.18329453299998 52.543975785000043,-6.171330892999947 52.540671976000056,-6.171330892999947 52.544790973000033)),((-6.189909720999936 52.560105087000075,-6.191317206999941 52.560062199000072,-6.192724693999935 52.550840047000072,-6.191528329999926 52.550797149000061,-6.189909720999936 52.560105087000075)),((-6.016205398999944 53.045645249000081,-6.015741879999951 53.051790225000047,-6.017595959999937 53.052069521000078,-6.017827717999977 53.045645249000081,-6.016205398999944 53.045645249000081)),((-6.03752732199996 53.132570526000045,-6.041930762999924 53.140096673000073,-6.041467242999944 53.129503937000038,-6.03752732199996 53.132570526000045)),((-6.084574609999947 53.210833365000042,-6.085733409999932 53.213615877000045,-6.089905091999981 53.21347675700008,-6.089673330999972 53.209720311000069,-6.084574609999947 53.210833365000042)))",F100__8,8,2014-03-19T00:00:00,2016-10-17T12:50:00,Inshore Dredge Fishing Area,8,SD.SpeciesDistribution.IE.MarineInstitute.Natura2000.InshoreDredgeFishing.8,http://inspire.ec.europa.eu/theme/sd,1998,Location of inshore dredge fishing activity in Irish waters,Irish Sea,http://id.loc.gov/vocabulary/iso639-1/en,http://inspire.ec.europa.eu/codelist/NameStatusValue/official,http://dbpedia.org/resource/Ordnance_Survey_Ireland,Mussel Dredge,Seed Mussel,,0,0,0,0,,Survey Data,"1:50,000",http://www.opengis.net/def/crs/EPSG/0/4326,"Irelands Marine Atlas Esri Green Fill (RGB: 201,242,208) with Grey Outline (RGB: 110,110,110) polygon geometry",https://creativecommons.org/licenses/by/4.0/,http://dbpedia.org/resource/Marine_Institute_Ireland,https://data.gov.ie/dataset/inshore-dredge-fishing-activity,1.02113394618134,http://dbpedia.org/resource/Square_kilometre
"MULTIPOLYGON (((-5.95804422699996 52.929053288000034,-5.959543324999969 52.930321492000083,-5.970037003999948 52.92561082900005,-5.968837726999936 52.924704873000046,-5.95804422699996 52.929053288000034)),((-5.992223642999932 52.944088171000033,-5.999719126999935 52.943907059000026,-6.000018947999934 52.941009165000082,-5.991624003999959 52.94064691400007,-5.992223642999932 52.944088171000033)),((-5.830620971999962 52.995674027000064,-5.830920790999926 53.009781480000072,-5.832120069999974 53.009781480000072,-5.831820249999964 52.995674028000046,-5.830620971999962 52.995674027000064)),((-5.85490634599995 52.998206475000082,-5.847710679999977 53.012493921000043,-5.849509595999962 53.012493921000043,-5.856105623999952 52.998206475000082,-5.85490634599995 52.998206475000082)))",F100__9,9,2014-03-19T00:00:00,2016-10-17T12:50:00,Inshore Dredge Fishing Area,9,SD.SpeciesDistribution.IE.MarineInstitute.Natura2000.InshoreDredgeFishing.9,http://inspire.ec.europa.eu/theme/sd,1999,Location of inshore dredge fishing activity in Irish waters,Irish Sea,http://id.loc.gov/vocabulary/iso639-1/en,http://inspire.ec.europa.eu/codelist/NameStatusValue/official,http://dbpedia.org/resource/Ordnance_Survey_Ireland,Mussel Dredge,Seed Mussel,,0,0,0,0,,Survey Data,"1:50,000",http://www.opengis.net/def/crs/EPSG/0/4326,"Irelands Marine Atlas Esri Green Fill (RGB: 201,242,208) with Grey Outline (RGB: 110,110,110) polygon geometry",https://creativecommons.org/licenses/by/4.0/,http://dbpedia.org/resource/Marine_Institute_Ireland,https://data.gov.ie/dataset/inshore-dredge-fishing-activity,0.607100336184933,http://dbpedia.org/resource/Square_kilometre
"MULTIPOLYGON (((-5.954857825999966 52.950778851000045,-5.957589973999973 52.953391510000081,-5.95872837099995 52.948578596000061,-5.954857825999966 52.950778851000045)),((-5.969429289999937 53.00629804700003,-5.978991812999936 53.013850810000072,-5.973072154999954 52.997507705000032,-5.969429289999937 53.00629804700003)),((-5.856045083999959 53.009044660000022,-5.86355849499995 53.011928414000074,-5.856272761999946 52.998331877000055,-5.856045083999959 53.009044660000022)),((-6.028625862999945 53.015635815000046,-6.03135801299993 53.015223897000055,-6.034090162999974 53.011928415000057,-6.030902654999977 53.011104505000048,-6.028625862999945 53.015635815000046)),((-6.032724087999952 53.014262742000021,-6.03636695299997 53.024697002000039,-6.037733027999934 53.024559724000021,-6.03340712499994 53.013988121000075,-6.032724087999952 53.014262742000021)),((-5.99041759499994 52.991103789000078,-5.98878201499997 53.009456637000021,-5.987643619999972 53.01055522300004,-6.000621330999934 53.033481780000045,-6.003353479999929 53.033070033000058,-5.990148089999934 53.010967185000027,-5.991741844999979 53.009456637000021,-5.992893189999961 52.991099779000081,-5.99041759499994 52.991103789000078)),((-6.012232964999953 53.088345918000073,-6.010866890999978 53.091635534000034,-6.023161563999963 53.091498472000069,-6.015648152999973 53.088208846000043,-6.012232964999953 53.088345918000073)))",F100__10,10,2014-03-19T00:00:00,2016-10-17T12:50:00,Inshore Dredge Fishing Area,10,SD.SpeciesDistribution.IE.MarineInstitute.Natura2000.InshoreDredgeFishing.10,http://inspire.ec.europa.eu/theme/sd,2000,Location of inshore dredge fishing activity in Irish waters,Irish Sea,http://id.loc.gov/vocabulary/iso639-1/en,http://inspire.ec.europa.eu/codelist/NameStatusValue/official,http://dbpedia.org/resource/Ordnance_Survey_Ireland,Mussel Dredge,Seed Mussel,,0,0,0,0,,Survey Data,"1:50,000",http://www.opengis.net/def/crs/EPSG/0/4326,"Irelands Marine Atlas Esri Green Fill (RGB: 201,242,208) with Grey Outline (RGB: 110,110,110) polygon geometry",https://creativecommons.org/licenses/by/4.0/,http://dbpedia.org/resource/Marine_Institute_Ireland,https://data.gov.ie/dataset/inshore-dredge-fishing-activity,1.99453395900192,http://dbpedia.org/resource/Square_kilometre
"MULTIPOLYGON (((-6.184586066999941 52.503067909000038,-6.198929851999935 52.506402311000045,-6.199840568999946 52.504874075000032,-6.185041424999952 52.502234269000041,-6.184586066999941 52.503067909000038)),((-6.173429788999954 52.561244493000061,-6.174340504999975 52.56651682100005,-6.176389617999972 52.566378083000082,-6.175478900999963 52.561105739000027,-6.173429788999954 52.561244493000061)),((-6.11150106599996 52.645109869000073,-6.107630520999976 52.65134134200008,-6.112867141999971 52.651479810000069,-6.115371610999944 52.644832894000047,-6.11150106599996 52.645109869000073)),((-6.117648402999976 52.647602565000057,-6.115826968999953 52.652725994000043,-6.122201985999936 52.652864456000032,-6.122429663999981 52.647602566000046,-6.117648402999976 52.647602565000057)),((-6.145652935999976 52.710841540000047,-6.144514539999932 52.716925340000046,-6.153394025999944 52.716925340000046,-6.15567081699993 52.710841541000043,-6.145652935999976 52.710841540000047)),((-6.012916003999976 52.802009030000079,-6.01337136199993 52.803664845000071,-6.03773302899998 52.79897320200007,-6.03727767 52.797593210000059,-6.012916003999976 52.802009030000079)),((-6.018152623999981 52.909092401000073,-6.018152623999981 52.91280867200004,-6.02429995899996 52.912533404000051,-6.024527638999928 52.909092401000073,-6.018152623999981 52.909092401000073)),((-5.985139149999952 52.944865408000055,-5.988554335999936 52.945002940000045,-5.987871298999949 52.937575628000047,-5.984911469999929 52.937300519000082,-5.985139149999952 52.944865408000055)),((-5.886098727999979 52.99970546000003,-5.886098727999979 53.003825946000063,-5.893156780999959 53.003825946000063,-5.893156780999959 52.99970546000003,-5.886098727999979 52.99970546000003)),((-5.856272761999946 53.007671376000083,-5.871754942999928 53.009456637000021,-5.872665658999948 53.007808706000048,-5.856272762999936 53.005748703000044,-5.856272761999946 53.007671376000083)),((-6.032041050999965 53.141770873000041,-6.032724087999952 53.145603945000062,-6.039326781999932 53.14546705500004,-6.038416066999957 53.141086360000031,-6.032041050999965 53.141770873000041)))",F100__11,11,2014-03-19T00:00:00,2016-10-17T12:50:00,Inshore Dredge Fishing Area,11,SD.SpeciesDistribution.IE.MarineInstitute.Natura2000.InshoreDredgeFishing.11,http://inspire.ec.europa.eu/theme/sd,2001,Location of inshore dredge fishing activity in Irish waters,Irish Sea,http://id.loc.gov/vocabulary/iso639-1/en,http://inspire.ec.europa.eu/codelist/NameStatusValue/official,http://dbpedia.org/resource/Ordnance_Survey_Ireland,Mussel Dredge,Seed Mussel,,0,0,0,0,,Survey Data,"1:50,000",http://www.opengis.net/def/crs/EPSG/0/4326,"Irelands Marine Atlas Esri Green Fill (RGB: 201,242,208) with Grey Outline (RGB: 110,110,110) polygon geometry",https://creativecommons.org/licenses/by/4.0/,http://dbpedia.org/resource/Marine_Institute_Ireland,https://data.gov.ie/dataset/inshore-dredge-fishing-activity,2.37428317859818,http://dbpedia.org/resource/Square_kilometre
"POLYGON ((-5.947768 53.039170999000078,-5.96231 53.015911,-5.953044998999928 52.995539,-5.949644000999968 52.991506,-5.941552000999934 52.991931,-5.942256 52.996317999000041,-5.947768 53.039170999000078))",F100__12,12,2014-03-19T00:00:00,2016-10-17T12:50:00,Inshore Dredge Fishing Area,12,SD.SpeciesDistribution.IE.MarineInstitute.Natura2000.InshoreDredgeFishing.12,http://inspire.ec.europa.eu/theme/sd,2003,Location of inshore dredge fishing activity in Irish waters,Irish Sea,http://id.loc.gov/vocabulary/iso639-1/en,http://inspire.ec.europa.eu/codelist/NameStatusValue/official,http://dbpedia.org/resource/Ordnance_Survey_Ireland,Mussel Dredge,Seed Mussel,,0,0,0,0,,Survey Data,"1:50,000",http://www.opengis.net/def/crs/EPSG/0/4326,"Irelands Marine Atlas Esri Green Fill (RGB: 201,242,208) with Grey Outline (RGB: 110,110,110) polygon geometry",https://creativecommons.org/licenses/by/4.0/,http://dbpedia.org/resource/Marine_Institute_Ireland,https://data.gov.ie/dataset/inshore-dredge-fishing-activity,3.96086801709174,http://dbpedia.org/resource/Square_kilometre
